allele,asc_allele,threshold
IGHV3-38*03,IGHVF10-G35*02,1e-04
IGHV3-38*01,IGHVF10-G35*03,1e-04
IGHV3-38*02,IGHVF10-G35*04,1e-04
IGHV3-NL1*01,IGHVF10-G36*01,1e-04
IGHV3-30*i02,IGHVF10-G37*01,1e-04
IGHV3-30*01,IGHVF10-G37*02,1e-04
IGHV3-30-3*01,IGHVF10-G37*03,1e-04
IGHV3-30-3*03,IGHVF10-G37*04,0.001
IGHV3-30*04,IGHVF10-G37*04,0.001
IGHV3-30*20,IGHVF10-G37*05,1e-04
IGHV3-30*03,IGHVF10-G37*06,5e-04
IGHV3-30-5*01,IGHVF10-G37*07,1e-04
IGHV3-30*18,IGHVF10-G37*07,1e-04
IGHV3-30-5*02,IGHVF10-G37*08,0.001
IGHV3-30*02,IGHVF10-G37*08,0.001
IGHV3-33*08,IGHVF10-G37*09,0.001
IGHV3-33*01,IGHVF10-G37*10,1e-04
IGHV3-33*06,IGHVF10-G37*11,0.001
IGHV3-64*02,IGHVF10-G38*01,1e-04
IGHV3-64*01,IGHVF10-G38*02,1e-04
IGHV3-64*07,IGHVF10-G38*03,0.001
IGHV3-64D*09,IGHVF10-G38*04,1e-04
IGHV3-64D*06,IGHVF10-G38*05,1e-04
IGHV3-64D*08,IGHVF10-G38*06,1e-04
IGHV3-74*01,IGHVF10-G39*01,1e-04
IGHV3-66*01,IGHVF10-G40*01,1e-05
IGHV3-66*02,IGHVF10-G40*02,1e-05
IGHV3-66*03,IGHVF10-G40*03,1e-05
IGHV3-53*04,IGHVF10-G40*04,1e-04
IGHV3-53*05,IGHVF10-G40*05,1e-04
IGHV3-53*01,IGHVF10-G40*06,0.001
IGHV3-53*02,IGHVF10-G40*07,0.001
IGHV3-23*03,IGHVF10-G41*01,1e-04
IGHV3-23*04,IGHVF10-G41*02,0.001
IGHV3-23*01,IGHVF10-G41*03,0.001
IGHV3-23D*01,IGHVF10-G41*03,0.001
IGHV3-43D*i02,IGHVF10-G42*01,1e-04
IGHV3-43D*03,IGHVF10-G42*02,1e-04
IGHV3-43D*04,IGHVF10-G42*03,1e-04
IGHV3-43*01,IGHVF10-G42*04,1e-04
IGHV3-43*02,IGHVF10-G42*05,1e-04
IGHV3-20*04,IGHVF10-G43*01,1e-04
IGHV3-20*01,IGHVF10-G43*02,1e-04
IGHV3-20*02,IGHVF10-G43*03,1e-04
IGHV3-9*04,IGHVF10-G44*01,1e-04
IGHV3-9*03,IGHVF10-G44*02,1e-04
IGHV3-9*01,IGHVF10-G44*03,0.001
IGHV3-9*02,IGHVF10-G44*04,0.001
IGHV3-62*03,IGHVF10-G45*01,1e-04
IGHV3-16*04,IGHVF10-G46*01,1e-04
IGHV3-16*02,IGHVF10-G46*02,1e-04
IGHV3-16*03,IGHVF10-G46*03,1e-04
IGHV3-19*01,IGHVF10-G47*01,1e-04
